,Modele,MSE,RMSE,R2
0,Dummy regression train,0.7,0.84,0.0
1,Dummy regression test,0.66,0.81,-0.0
2,KRR linear train,0.34,0.58,0.51
3,KRR linear test,0.4,0.63,0.39
4,KRR rbf train,0.41,0.64,0.41
5,KRR rbf test,0.44,0.66,0.33
6,KRR polynomial train,0.36,0.6,0.48
7,KRR polynomial test,0.37,0.61,0.44
8,KRR hyperparametre train,0.44,0.67,0.36
9,KRR hyperparametre test,0.53,0.73,0.2
10,SVR train,0.36,0.6,0.48
11,SVR test,0.35,0.59,0.47
12,Ramdom Forest train,0.08,0.29,0.88
13,Ramdom Forest test,0.29,0.54,0.55
14,Bagging Tree train,0.09,0.3,0.87
15,Bagging Tree test,0.32,0.57,0.51
16,Bagging Hyperparametre train,0.08,0.29,0.88
17,Bagging Hyperparametre test,0.29,0.54,0.56
18,GBoost regression train,0.22,0.47,0.69
19,GBoost regression test,0.26,0.51,0.6
20,GBoost regression train hyper,0.22,0.47,0.69
21,GBoost regression test hyper,0.26,0.51,0.6
22,Arbre de decision train,0.22,0.47,0.69
23,Arbre de decision test,0.5,0.71,0.23
24,Arbre de decision Hyperparametre train,0.22,0.47,0.69
25,Arbre de decision Hyperparametre test,0.36,0.6,0.45
