;Modele;MSE;RMSE;R2
0;Dummy regression train;6003.81;77.48;0
1;Dummy regression test;4199.78;64.81;-0.01
2;KRR linear train;19.57;4.42;1
3;KRR linear test;33.77;5.81;0.99
4;KRR rbf train;209.53;14.48;0.97
5;KRR rbf test;225.1;15;0.95
8;KRR hyperparametre train;11.05;3.32;1
9;KRR hyperparametre test;16.5;4.06;1
10;SVR train;18.03;4.25;1
11;SVR test;2323.9;48.21;0.44
12;Ramdom Forest train;8.77;2.96;1
13;Ramdom Forest test;9.91;3.15;1
14;Bagging Tree train;11.7;3.42;1
15;Bagging Tree test;9.38;3.06;1
16;Bagging Hyperparametre train;7.92;2.81;1
17;Bagging Hyperparametre test;10.92;3.3;1
18;GBoost regression train;2.77;1.67;1
19;GBoost regression test;8.07;2.84;1
20;Arbre de decision train;2.77;1.67;1
21;Arbre de decision test;92.96;9.64;0.98
