,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity
0,Hotel,7,DOWNTOWN,1927,12,88434,0,Hotel,Hotel,88434.0,,,,,60.0,81.69999695,2003882.0,3946027.0,1276453.0,2.83
1,Hotel,7,DOWNTOWN,1996,11,103566,15064,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,94.80000305,0.0,3242851.0,5145082.0,2.86
2,Hotel,7,DOWNTOWN,1969,41,956110,196718,Hotel,Hotel,756493.0,,,,,43.0,96.0,21566554.0,49526664.0,1493800.0,2.19
3,Hotel,7,DOWNTOWN,1926,10,61320,0,Hotel,Hotel,61320.0,,,,,56.0,110.8000031,2214446.25,2768924.0,1811213.0,4.67
4,Hotel,7,DOWNTOWN,1980,18,175580,62000,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,114.8000031,0.0,5368607.0,8803998.0,2.88
5,Other,7,DOWNTOWN,1999,2,97288,37198,Police Station,Police Station,88830.0,,,,,62.36363636363637,136.1000061,0.0,7371434.0,4715182.0,3.1
6,Hotel,7,DOWNTOWN,1926,11,83008,0,Hotel,Hotel,81352.0,,,,,27.0,70.80000305,0.0,2811215.0,2947580.0,2.12
7,Other,7,DOWNTOWN,1926,8,102761,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,62.36363636363637,61.29999924,2276286.5,3636655.0,385189.0,2.16
8,Hotel,7,DOWNTOWN,1904,15,163984,0,Hotel,Hotel,163984.0,,,,,43.0,83.69999695,0.0,7297919.0,6425900.0,2.39
10,Hotel,7,DOWNTOWN,1969,11,153163,19279,Hotel,Hotel,133884.0,,,,,30.0,119.5999985,5237165.5,6187627.0,4591850.0,4.51
11,Hotel,7,DOWNTOWN,1998,25,333176,61161,Hotel,Hotel,336640.0,,,,,36.0,80.0,5999360.5,18083049.0,2858700.0,2.22
12,Hotel,7,DOWNTOWN,1928,9,65009,0,Hotel,Hotel,65009.0,,,,,48.0,101.5,1656352.5,1343000.0,3596705.0,5.05
13,Hotel,7,DOWNTOWN,1980,33,315952,57600,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,58.0,75.5,4337738.5,13904183.0,4083440.0,2.05
14,Hotel,7,DOWNTOWN,1922,11,92190,25200,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,,,35.0,159.5,4870847.5,3832369.0,2046793.0,5.55
15,Other,7,DOWNTOWN,2004,11,412000,57000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,62.36363636363637,50.79999924,737559.5,17851297.0,0.0,0.44
16,Other,7,DOWNTOWN,1930,6,103911,0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,62.36363636363637,76.59999847,4592347.5,4453868.0,910180.0,4.18
17,Hotel,7,DOWNTOWN,1983,28,416281,85000,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,,31.0,96.30000305,0.0,21225277.0,12331475.0,1.93
