,Modele,MSE,RMSE,R2
0,Dummy regression train,1.44,1.2,0.0
1,Dummy regression test,1.44,1.2,-0.0
2,KRR linear train,0.68,0.82,0.53
3,KRR linear test,0.73,0.86,0.49
4,KRR rbf train,0.75,0.86,0.48
5,KRR rbf test,0.81,0.9,0.44
6,KRR polynomial train,0.71,0.84,0.51
7,KRR polynomial test,0.77,0.88,0.46
8,KRR hyperparametre train,0.69,0.83,0.53
9,KRR hyperparametre test,0.75,0.87,0.48
10,SVR train,0.71,0.84,0.51
11,SVR test,0.72,0.85,0.5
12,Ramdom Forest train,0.24,0.49,0.84
13,Ramdom Forest test,0.7,0.83,0.52
14,Bagging Tree train,0.26,0.51,0.82
15,Bagging Tree test,0.75,0.87,0.48
16,Bagging Hyperparametre train,0.23,0.48,0.84
17,Bagging Hyperparametre test,0.69,0.83,0.52
18,GBoost regression train,0.5,0.71,0.65
19,GBoost regression test,0.62,0.79,0.57
20,GBoost regression train hyper,0.51,0.72,0.65
21,GBoost regression test hyper,0.6,0.77,0.58
22,Arbre de decision train,0.51,0.72,0.65
23,Arbre de decision test,0.95,0.98,0.34
24,Arbre de decision Hyperparametre train,0.51,0.72,0.65
25,Arbre de decision Hyperparametre test,0.71,0.84,0.51
